date,ret
1997-12-31,-0.03568546716601657
1998-01-30,0.008691837785686635
1998-02-27,0.030662982596724696
1998-03-31,-0.0350970292635394
1998-04-30,0.009580953285611298
1998-05-29,-0.020500900103457856
1998-06-30,0.022459697422944055
1998-07-31,0.03016911200415603
1998-08-31,-0.015951822870665017
1998-09-30,0.051930961794147926
1998-10-30,-0.012420539349714689
1998-11-30,0.050342480472972795
1998-12-31,0.011169323602372244
1999-01-29,0.05759001016883287
1999-02-26,0.0021057470954307655
1999-03-31,0.009837291265922934
1999-04-30,-0.06850431899480432
1999-05-28,-0.017104465251621993
1999-06-30,0.028221001472299015
1999-07-30,0.00885488801407578
1999-08-31,0.047641296107843
1999-09-30,-0.0015608117112294595
1999-10-29,0.03494076756180575
1999-11-30,0.07941442064532978
1999-12-31,-0.018514679360265573
2000-01-31,0.03815544312968406
2000-02-29,0.024509939363810188
2000-03-31,-0.013046866871098253
2000-04-28,-0.08082993010121423
2000-05-31,-0.05415589484813099
2000-06-30,0.09679808636081746
2000-07-31,-0.004189703467186098
2000-08-31,-0.04059146141370552
2000-09-29,-0.07356078700012834
2000-10-31,0.050651691177930634
2000-11-30,-0.025071692636708803
2000-12-29,-0.07930444123750267
2001-01-31,0.09159332165483366
2001-02-28,-0.12241811461859754
2001-03-30,-0.040795556460382826
2001-04-30,0.027416843792868226
2001-05-31,-0.004057734076489666
2001-06-29,-0.006522733801515629
2001-07-31,0.06334957879125819
2001-08-31,0.0034165169400664497
2001-09-28,0.043341390971292026
2001-10-31,0.051441012173652795
2001-11-30,0.01973799784742529
2001-12-31,-0.0409363736956551
2002-01-31,0.07417389043103599
2002-02-28,-0.006736757655775322
2002-03-28,-0.03762387318028308
2002-04-30,0.0207767850340521
2002-05-31,0.01283073837255173
2002-06-28,0.0036374207631467564
2002-07-31,0.08971980390984552
2002-08-30,-0.023588457563049774
2002-09-30,0.05075945116856187
2002-10-31,0.09791859843555582
2002-11-29,-0.10841796618545377
2002-12-31,0.00014767090327441612
2003-01-31,-0.00016887528291061396
2003-02-28,0.039792378683233126
2003-03-31,0.013726388259546998
2003-04-30,-0.0719476622571136
2003-05-30,-0.03511229907843866
2003-06-30,-0.010976685679800646
2003-07-31,-0.0038261800912710656
2003-08-29,-0.026358728454805365
2003-09-30,-0.013162534718371997
2003-10-31,0.03656546743066025
2003-11-28,0.007898168661476673
2003-12-31,-0.04375092439034725
2004-01-30,-0.008084889850755402
2004-02-27,-0.001236792452756319
2004-03-31,0.009353820799402487
2004-04-30,0.015232398006631712
2004-05-28,0.0009301912391301553
2004-06-30,-0.032898575600630434
2004-07-30,-0.02146315884002154
2004-08-31,0.0016741596578213431
2004-09-30,-0.014889938034376913
2004-10-29,0.01933369024206128
2004-11-30,-0.03585389262524949
2004-12-31,-0.011927642478806719
2005-01-31,0.018651973498612362
2005-02-28,0.05737062896601059
2005-03-31,-0.008891254194433366
2005-04-29,-0.015884871024330192
2005-05-31,0.01419621477135526
2005-06-30,0.00047491754920129365
2005-07-29,0.021257239180525123
2005-08-31,0.00657372040306344
2005-09-30,0.00183569927579183
2005-10-31,0.007694333552334606
2005-11-30,0.01197916285844583
2005-12-30,-0.011842661437646833
2006-01-31,0.03701266269579178
2006-02-28,-0.02028808133273648
2006-03-31,-0.002129294658297559
2006-04-28,-0.017036374874655043
2006-05-31,-0.0377587716904558
2006-06-30,0.007068853818505519
2006-07-31,0.00205371940297985
